Station,Distribution,KS Statistic,KS p-value,Chi-Square Statistic,Chi-Square p-value,Degrees of Freedom,Minimum Expected Frequency,RMSE,KS Rank,Chi-Square Rank,RMSE Rank,Average Rank
06191500,Log-Normal,0.0765,0.77138,3.95775,0.26606,3,11.83333,17.13699,2.0,3.5,1.0,2.1666666666666665
06191500,Log-Pearson Type III,0.06146,0.93616,3.95775,0.13822,2,11.83333,18.44603,1.0,3.5,2.0,2.1666666666666665
06191500,Normal,0.0783,0.74697,0.74648,0.86222,3,11.83333,23.95979,3.0,1.0,4.0,2.6666666666666665
06191500,Gumbel,0.08247,0.68853,3.4507,0.32721,3,11.83333,22.37002,4.0,2.0,3.0,3.0
06192500,Log-Normal,0.06794,0.87625,2.94366,0.40039,3,11.83333,23.29129,2.0,3.0,1.0,2.0
06192500,Log-Pearson Type III,0.05536,0.97306,2.43662,0.29573,2,11.83333,26.64327,1.0,2.0,3.0,2.0
06192500,Normal,0.07145,0.83607,1.76056,0.62355,3,11.83333,37.22294,3.0,1.0,4.0,2.6666666666666665
06192500,Gumbel,0.07319,0.81458,4.6338,0.20066,3,11.83333,24.82709,4.0,4.0,2.0,3.333333333333333
06214500,Log-Normal,0.06097,0.93988,0.23944,0.97098,3,11.83333,30.08828,2.0,1.5,1.0,1.5
06214500,Log-Pearson Type III,0.04754,0.99482,0.23944,0.88717,2,11.83333,35.56511,1.0,1.5,3.0,1.8333333333333333
06214500,Gumbel,0.0639,0.91599,0.91549,0.82169,3,11.83333,33.43672,3.0,3.0,2.0,2.6666666666666665
06214500,Normal,0.06801,0.87547,3.11268,0.37458,3,11.83333,61.36846,4.0,4.0,4.0,4.0
