Return Period (Years),Exceedance Probability,Non-Exceedance Probability,Normal,Log-Normal,Gumbel,Log-Pearson Type III
2,0.5,0.5,1227.154,1176.689,1170.93,1190.711
5,0.2,0.8,1525.665,1505.943,1515.044,1510.257
10,0.1,0.9,1681.702,1713.231,1742.877,1698.953
25,0.04,0.96,1848.097,1965.81,2030.744,1916.91
50,0.02,0.98,1955.588,2148.446,2244.301,2066.935
100,0.01,0.99,2052.275,2327.175,2456.28,2208.049
200,0.005,0.995,2140.763,2503.748,2667.487,2342.279
