Distribution,Parameter,Value
Normal,"Mean, μ",1227.15439
Normal,"Standard Deviation, σ",354.68504
Log-Normal,"Mean of ln(Q), μln",7.07046
Log-Normal,"Standard Deviation of ln(Q), σln",0.29314
Log-Normal,Shape,0.29314
Log-Normal,Scale,1176.68886
Gumbel,Location,1059.65548
Gumbel,Scale,303.60425
Log-Pearson Type III,Log Base,log10
Log-Pearson Type III,Skewness,-0.24257
Log-Pearson Type III,Location,3.07066
Log-Pearson Type III,Scale,0.12733
