Distribution,KS Statistic,KS p-value,Chi-Square Statistic,Chi-Square p-value,Degrees of Freedom,Minimum Expected Frequency,RMSE,KS Rank,Chi-Square Rank,RMSE Rank,Average Rank
Log-Normal,0.06097,0.93988,0.23944,0.97098,3,11.83333,30.08828,2.0,1.5,1.0,1.5
Log-Pearson Type III,0.04754,0.99482,0.23944,0.88717,2,11.83333,35.56511,1.0,1.5,3.0,1.8333333333333333
Gumbel,0.0639,0.91599,0.91549,0.82169,3,11.83333,33.43672,3.0,3.0,2.0,2.6666666666666665
Normal,0.06801,0.87547,3.11268,0.37458,3,11.83333,61.36846,4.0,4.0,4.0,4.0
