Year,Peak_Flow
1950,1228.94912
1951,1107.18688
1952,1376.19648
1953,1316.7312
1954,1169.4838399999999
1955,906.1376
1956,1591.40416
1957,1591.40416
1958,928.79104
1959,1480.96864
1960,792.8704
1961,764.5536
1962,1172.3155199999999
1963,1305.40448
1964,1220.45408
1965,1319.56288
1966,891.9792
1967,1871.74048
1968,1410.17664
1969,1056.21664
1970,1376.19648
1971,1523.44384
1972,1322.39456
1973,1067.54336
1974,1968.0176
1975,1914.21568
1976,1129.84032
1977,753.2268799999999
1978,1421.50336
1979,996.75136
1980,982.59296
1981,1404.51328
1982,1602.73088
1983,1027.89984
1984,1025.06816
1985,792.8704
1986,1291.24608
1987,484.21728
1988,863.6623999999999
1989,1067.54336
1990,951.44448
1991,1458.3152
1992,1064.71168
1993,1124.17696
1994,832.51392
1995,1432.83008
1996,1752.80992
1997,2321.9776
1998,911.80096
1999,1192.13728
2000,872.15744
2001,608.8112
2002,1206.29568
2003,1364.86976
2004,787.20704
2005,1016.57312
2006,934.4544
2007,855.16736
2008,1325.22624
2009,1172.3155199999999
2010,1353.54304
2011,1999.16608
2012,1237.44416
2013,923.1276799999999
2014,1659.36448
2015,1095.86016
2016,807.0287999999999
2017,1364.86976
2018,1764.13664
2019,1514.9488
2020,1704.67136
