Year,Peak_Flow
1950,540.85088
1951,543.68256
1952,586.1577599999999
1953,557.84096
1954,523.8608
1955,419.08864
1956,671.10816
1957,560.67264
1958,447.40544
1959,611.64288
1960,402.09856
1961,419.08864
1962,529.5241599999999
1963,504.03904
1964,501.20736
1965,625.80128
1966,416.25696
1967,614.47456
1968,552.1776
1969,512.53408
1970,566.336
1971,713.58336
1972,654.11808
1973,487.04895999999997
1974,874.98912
1975,588.98944
1976,543.68256
1977,348.29663999999997
1978,583.32608
1979,492.71232
1980,362.45504
1981,574.83104
1982,699.4249599999999
1983,438.9104
1984,464.39552
1985,416.25696
1986,620.13792
1987,215.774016
1988,393.60352
1989,444.57376
1990,433.24703999999997
1991,580.4944
1992,390.77184
1993,617.30624
1994,441.74208
1995,625.80128
1996,911.80096
1997,911.80096
1998,441.74208
1999,583.32608
2000,495.544
2001,370.95008
2002,605.97952
2003,673.93984
2004,334.13824
2005,475.72224
2006,538.0192
2007,370.95008
2008,642.7913599999999
2009,594.6528
2010,736.2368
2011,857.99904
2012,552.1776
2013,470.05888
2014,744.73184
2015,345.46496
2016,308.65312
2017,659.78144
2018,727.74176
2019,543.68256
2020,818.35552
