Distribution,KS Statistic,KS p-value,Chi-Square Statistic,Chi-Square p-value,Degrees of Freedom,Minimum Expected Frequency,RMSE
Normal,0.0783,0.74697,0.74648,0.86222,3,11.83333,23.95979
Log-Normal,0.0765,0.77138,3.95775,0.26606,3,11.83333,17.13699
Gumbel,0.08247,0.68853,3.4507,0.32721,3,11.83333,22.37002
Log-Pearson Type III,0.06146,0.93616,3.95775,0.13822,2,11.83333,18.44603
