Return Period (Years),Exceedance Probability,Non-Exceedance Probability,Normal,Log-Normal,Gumbel,Log-Pearson Type III
2,0.5,0.5,626.22,600.786,599.134,608.858
5,0.2,0.8,777.291,768.601,776.323,770.524
10,0.1,0.9,856.259,874.222,893.638,865.076
25,0.04,0.96,940.469,1002.893,1041.866,973.42
50,0.02,0.98,994.869,1095.918,1151.829,1047.446
100,0.01,0.99,1043.801,1186.94,1260.981,1116.662
200,0.005,0.995,1088.583,1276.854,1369.734,1182.128
