Distribution,KS Statistic,KS p-value,Chi-Square Statistic,Chi-Square p-value,Degrees of Freedom,Minimum Expected Frequency,RMSE,KS Rank,Chi-Square Rank,RMSE Rank,Average Rank
Log-Normal,0.06794,0.87625,2.94366,0.40039,3,11.83333,23.29129,2.0,3.0,1.0,2.0
Log-Pearson Type III,0.05536,0.97306,2.43662,0.29573,2,11.83333,26.64327,1.0,2.0,3.0,2.0
Normal,0.07145,0.83607,1.76056,0.62355,3,11.83333,37.22294,3.0,1.0,4.0,2.6666666666666665
Gumbel,0.07319,0.81458,4.6338,0.20066,3,11.83333,24.82709,4.0,4.0,2.0,3.3333333333333335
